"time","cases"
1,2
2,3
3,2
4,2
5,4
6,7
7,2
8,2
9,0
10,3
11,1
12,5
13,4
14,5
15,4
16,5
17,14
18,6
19,12
20,6
21,6
22,9
23,4
24,7
25,11
26,19
27,18
28,25
29,15
30,16
31,27
32,15
33,19
34,27
35,35
36,23
37,20
38,32
39,23
40,32
41,30
42,21
43,58
44,31
45,40
46,46
47,38
48,32
49,42
50,46
51,7
52,10
53,19
54,18
55,18
56,20
57,10
58,7
59,11
60,13
61,36
62,25
63,33
64,24
65,28
66,30
67,38
68,31
69,48
70,40
71,61
72,32
73,30
74,44
75,52
76,39
77,45
78,47
79,40
80,44
81,43
82,42
83,44
84,34
85,52
86,45
87,40
88,58
89,55
90,41
91,52
92,40
93,62
94,49
95,36
96,40
97,48
98,58
99,41
100,42
101,37
102,41
103,59
104,42
105,50
106,52
107,35
108,52
109,44
110,38
111,53
112,65
113,48
114,47
115,57
116,53
117,43
118,52
119,32
120,49
121,19
122,18
123,17
124,17
125,15
126,18
127,12
128,18
129,12
130,8
131,53
132,57
133,42
134,47
135,42
136,41
137,49
138,51
139,45
140,44
141,49
142,47
143,53
144,33
145,36
146,37
147,44
148,40
149,70
150,57
